Name,Effect 2,Effect 3,Effect 4,Effect 5,Armor Class
Ironblood,Adds 1206 Maximum Health,Adds 1487 Armor,Adds 1487 Armor,"When you take damage, you have an 8% chance to turn your blood into pure iron and gain Major Protection for 10 seconds, reducing your damage taken by 30%, but your Movement Speed is reduced by 50%. This effect can occur once every 15 seconds.",Heavy
Jailbreaker,Adds 1096 Maximum Stamina,Adds 129 Stamina Recovery,Adds 129 Stamina Recovery,"Gain Minor Expedition at all times, increasing your Movement Speed by 10%.",Medium
Jailer's Tenacity,Adds 4% Healing Taken,Adds 1206 Maximum Health,Adds 4% Healing Taken,"When you lose 7000 or more Health from a single attack, you gain Major Vitality for 5 seconds, increasing your healing received by 30%.",Heavy
Jolting Arms,Adds 1206 Maximum Health,Adds 1487 Armor,Adds 1487 Armor,"When you block an attack, you have a 50% chance to charge your arms, causing your next Bash ability to deal an additional 6086 and increase your Physical Resistance and Spell Resistance by 4620 for 6 seconds. This effect can occur once every 6 seconds.",Heavy
Jorvuld's Guidance,Adds 129 Magicka Recovery,Adds 129 Magicka Recovery,Adds 4% Healing Done,"Increases the duration of all Major buffs, Minor buffs, and damage shields you apply to yourself and allies by 40%.",Light
Knight-Errant's Mail,Adds 1206 Maximum Health,Adds 1096 Maximum Stamina,Adds 129 Weapon Damage,"Adds 200 Weapon Damage to your One Hand and Shield abilities. When you use a One Hand and Shield ability, you heal for 1250 Health.",Heavy
Knightmare,Adds 1487 Armor,Adds 1206 Maximum Health,Adds 129 Weapon Damage,"When you deal melee damage, you have a 20% chance to apply Minor Maim to all enemies within 8 meters of you for 5 seconds, reducing their damage done by 15%.",Heavy
Lamia's Song,Adds 1096 Maximum Magicka,Adds 129 Magicka Recovery,Adds 1096 Maximum Magicka,"When you use an Ultimate ability, you heal you and your allies within 20 meters of you for 30 Health per point of the Ultimate's cost.",Light
Leeching Plate,Adds 1206 Maximum Health,Adds 4% Healing Taken,Adds 1206 Maximum Health,"When you take damage, you have a 20% chance to summon a cloud of leeching poison under the assailant. The cloud deals 1200 Poison Damage every 1 second for 5 seconds and heals you for 100% of the damage caused. A cloud can be created once every 5 seconds.",Heavy
Leviathan,Adds 1096 Maximum Stamina,Adds 833 Weapon Critical,Adds 833 Weapon Critical,Adds 1924 Weapon Critical,Medium
Light Speaker,Adds 833 Spell Critical,Adds 1096 Maximum Magicka,Adds 129 Spell Damage,Adds 450 Spell Damage to your Restoration Staff abilities.,Light
Magicka Furnace,Adds 1487 Armor,Adds 1096 Maximum Magicka,Adds 129 Spell Damage,"When you take damage from a melee attack while you are under 80% Magicka, restore 8000 Magicka. This effect can occur once every 30 seconds.",Light
Medusa,Adds 1206 Maximum Health,Adds 1096 Maximum Magicka,Adds 129 Spell Damage,"Gain Minor Force at all times, increasing your Critical Damage by 10%.",Heavy
Mighty Glacier,Adds 1096 Maximum Stamina,Adds 1096 Maximum Magicka,"Adds 129 Stamina Recovery, Adds 129 Magicka Recovery","When you activate a snare or immobilize ability or hit a target with a snare or immobilize ability, you and up to 11 group members gain Major Resolve for 15 seconds, increasing your Physical Resistance and Spell Resistances by 5280. This effect can occur once every 10 seconds.",Heavy
Moon Hunter,Adds 129 Spell Damage,Adds 129 Spell Damage,Adds 833 Spell Critical,"When your alchemical poison fires, increase your Spell Damage by 600 for 6 seconds.",Light
Netch's Touch,Adds 833 Spell Critical,Adds 1096 Maximum Magicka,Adds 129 Spell Damage,Adds 400 Spell Damage to your Shock Damage abilities.,Light
Nikulas' Heavy Armor,Adds 1487 Armor,Adds 1487 Armor,Adds 1206 Maximum Health,"When you block a spell projectile, you have a 25% chance to reflect the spell back to the enemy.",Heavy
Noble Duelist's Silks,Adds 129 Stamina Recovery,Adds 129 Spell Damage,Adds 129 Spell Damage,"When you dodge an attack, your Light and Heavy Attacks deal an additional 1225 damage for 8 seconds.",Light
Oblivion's Edge,Adds 833 Weapon Critical,Adds 129 Weapon Damage,Adds 129 Stamina Recovery,"Adds 129 Weapon Damage, When you kill an enemy, you fill an empty Soul Gem and heal for 1720 Health.",Medium
Overwhelming Surge,Adds 1096 Maximum Magicka,Adds 129 Spell Damage,Adds 129 Spell Damage,"When you deal damage with a Class ability, you have a 33% chance to surround yourself with a torrent that deals 1040 Shock Damage to enemies within 8 meters of you every 1 second for 6 seconds. 15% of the damage you deal this way is restored to you as Magicka. This effect can occur every 6 seconds.",Light
Pillar of Nirn,Adds 1096 Maximum Stamina,Adds 833 Weapon Critical,Adds 129 Weapon Damage,"When you deal damage, you have a 10% chance to create a fissure underneath the enemy after 1 second, dealing 2000 Physical Damage to all enemies within 2.5 meters and causing them to bleed for an additional 10000 Physical Damage over 10 seconds. This effect can occur once every 10 seconds.",Medium
Plague Slinger,Adds 129 Weapon Damage,Adds 1206 Maximum Health,Adds 129 Weapon Damage,"When you take damage, summon a Skeever corpse which will launch five poison balls over 5 seconds that deal 5160 Poison Damage each at the nearest enemy. This effect can occur once every 15 seconds.",Medium
Prayer Shawl,Adds 1096 Maximum Magicka,Adds 129 Spell Damage,Adds 129 Magicka Recovery,"When you heal a friendly target, you have a 6% chance to grant them a damage shield that absorbs 2425 damage for 6 seconds.",Light
Rattlecage,Adds 1206 Maximum Health,Adds 129 Spell Damage,Adds 129 Spell Damage,"Adds 100 Spell Damage, Gain Major Sorcery at all times, increasing your Spell Damage by 20%.",Heavy
Renald's Resolve,Adds 1206 Maximum Health,Adds 4% Healing Taken,Adds 1206 Maximum Health,"Whenever you deal direct damage, gain a stack of Resolve for 10 seconds. Each stack increases your Healing Taken by 1% and your Physical Resistance and Spell Resistance by 420. You can only gain one stack of Resolve every 1 second. You can only have up to 8 stacks of Resolve.",Heavy
Sanctuary,Adds 1206 Maximum Health,Adds 4% Healing Taken,Adds 1096 Maximum Magicka,Increases your healing received by 12% for you and up to 11 group members within 10 meters of you.,Light
Savage Werewolf,Adds 1096 Maximum Stamina,Adds 129 Weapon Damage,Adds 129 Stamina Recovery,"Your Light and Heavy Attacks rend flesh, causing your enemy to bleed for 1000 Physical Damage every 1 second for 4 seconds.",Medium
Scathing Mage,Adds 1096 Maximum Magicka,Adds 833 Spell Critical,Adds 833 Spell Critical,"When you deal direct damage, you have a 20% chance to increase your Spell Damage by 516 for 5 seconds. This effect can occur once every 5 seconds.",Light
Scavenging Demise,Adds 129 Weapon Damage,Adds 833 Weapon Critical,Adds 833 Weapon Critical,"When you deal Critical Poison Damage to an enemy, summon the Scavenging Maw which attacks your enemy after 2 seconds. The Scavenging Maw deals 7000 Poison Damage and inflicts Minor Vulnerability for 15 seconds, increasing their damage taken by 8%. This effect can occur every 10 seconds.",Medium
Sergeant's Mail,Adds 1206 Maximum Health,Adds 129 Health Recovery,Adds 129 Weapon Damage,Increases the damage of your fully-charged Heavy Attacks by 1634.,Heavy
Sheer Venom,Adds 1096 Maximum Stamina,Adds 129 Weapon Damage,Adds 129 Weapon Damage,"When you deal damage with an Execute ability you infect the enemy, dealing 9660 Poison Damage over 6 seconds. This effect can occur once every 6 seconds.",Medium
Shroud of the Lich,Adds 129 Magicka Recovery,Adds 1096 Maximum Magicka,Adds 129 Magicka Recovery,"When you cast an ability that costs resources while under 33% Magicka, your Magicka Recovery is increased by 1032 for 20 seconds. This effect can occur once every 1 minute.",Light
Spell Power Cure,Adds 1096 Maximum Magicka,Adds 1096 Maximum Magicka,Adds 129 Spell Damage,"When you heal yourself or an ally that is at 100% Health, you have a 50% chance to give the target Major Courage for 10 seconds which increases their Weapon Damage and Spell Damage by 258.",Light
Spelunker,Adds 1096 Maximum Stamina,Adds 129 Stamina Recovery,Adds 129 Weapon Damage,Adds 400 Weapon Damage and Spell Damage to your Undaunted abilities. When an ally uses one of your Undaunted ability synergies you restore 1500 Stamina.,Medium
Spider Cultist Cowl,Adds 833 Spell Critical,Adds 1096 Maximum Magicka,Adds 129 Spell Damage,Adds 450 Spell Damage to your Destruction Staff abilities.,Light
Storm Master,Adds 833 Weapon Critical,Adds 833 Weapon Critical,Adds 129 Weapon Damage,"When you deal Critical Damage with a fully-charged Heavy Attack, your Light Attacks will also deal 1605 Shock Damage for 20 seconds.",Medium
Strength of the Automaton,Adds 833 Weapon Critical,Adds 1096 Maximum Stamina,Adds 129 Weapon Damage,Adds 400 Weapon Damage to your Physical Damage abilities.,Medium
Sunderflame,Adds 1096 Maximum Stamina,Adds 129 Weapon Damage,Adds 833 Weapon Critical,"When you deal damage with a fully-charged Heavy Attack, you deal an additional 4000 Flame Damage and apply Minor Breach and Minor Fracture to the enemy, reducing their Physical Resistance and Spell Resistance by 1320 for 8 seconds.",Heavy
Sword Dancer,Adds 833 Weapon Critical,Adds 1096 Maximum Stamina,Adds 129 Weapon Damage,Adds 450 Weapon Damage to your Dual Wield abilities.,Medium
The Ice Furnace,Adds 1096 Maximum Magicka,Adds 833 Spell Critical,Adds 129 Spell Damage,"When you deal Frost Damage, you deal an additional 1644 Flame Damage to all enemies within 8 meters around the initial target. This effect can occur once every 1 second.",Heavy
The Worm's Raiment,Adds 129 Spell Damage,Adds 1096 Maximum Magicka,Adds 129 Magicka Recovery,Reduces the cost of your Magicka Abilities by 4% for you and up to 11 other group members within 28 meters of you.,Light
Titanborn Strength,Adds 1487 Physical Penetration,Adds 129 Weapon Damage,Adds 1096 Maximum Stamina,Adds 110 Weapon Damage and 1240 Physical Penetration. This bonus doubles to 220 Weapon Damage and 2480 Physical Penetration when you are under 75% Health. This bonus quadruples to 440 Weapon Damage and 4960 Physical Penetration when you are under 50% Health.,Medium
Toothrow,Adds 1096 Maximum Stamina,Adds 833 Weapon Critical,Adds 833 Weapon Critical,"Adds 100 Weapon Damage, Gain Major Savagery at all times, increasing your Weapon Critical rating by 2191.",Medium
Tormentor,Adds 1206 Maximum Health,Adds 4% Healing Taken,Adds 4% Healing Taken,"When you deal damage with a Charge ability, you gain 3642 Physical Resistance and Spell Resistance and taunt the enemy to attack you for 15 seconds.",Heavy
Trappings of Invigoration,Adds 129 Stamina Recovery,Adds 1096 Maximum Stamina,Adds 129 Stamina Recovery,"When you cast an ability that costs resources while under 25% Stamina, you restore 11350 Stamina. This effect can occur once every 45 seconds.",Medium
Treasure Hunter,Adds 1096 Maximum Magicka,Adds 833 Spell Critical,Adds 833 Spell Critical,"Adds 100 Spell Damage, Gain Major Prophecy at all times, increasing your Spell Critical rating by 2191.",Light
Tzogvin's Warband,Adds 833 Weapon Critical,Adds 833 Weapon Critical,Adds 1487 Physical Penetration,"When you deal Critical Damage, you gain a stack of Precision, increasing your Weapon Critical by 129 for 10 seconds, up to 10 stacks max. At max stacks, you also gain Minor Force, increasing your Critical Damage done by 10%.",Medium
Ulfnor's Favor,Adds 1206 Maximum Health,"Adds 129 Magicka Recovery, Adds 129 Stamina Recovery",Adds 4% Healing Taken,Increases the Magicka or Stamina your Heavy Attacks restore by 30%.,Heavy
Undaunted Bastion,Adds 1206 Maximum Health,Adds 1487 Armor,Adds 1487 Armor,"When you taunt an enemy while you are under 60% Health, gain a damage shield that absorbs 13760 damage for 6 seconds. This effect can occur once every 10 seconds.",Heavy
Undaunted Infiltrator,Adds 1096 Maximum Magicka,Adds 1096 Maximum Magicka,Adds 833 Weapon Critical,"When you use an ability that costs Magicka, your Light Attacks deal an additional 774 damage and Heavy Attacks deal an additional 1161 damage for 10 seconds.",Medium
Undaunted Unweaver,Adds 1096 Maximum Stamina,Adds 1096 Maximum Stamina,Adds 833 Spell Critical,"When you use an ability that costs Stamina, your Light Attacks deal an additional 774 damage and Heavy Attacks deal an additional 1161 damage for 10 seconds.",Light
Vestments of the Warlock,Adds 129 Magicka Recovery,Adds 1096 Maximum Magicka,Adds 129 Magicka Recovery,"When you cast an ability that costs resources while under 25% Magicka, you restore 11350 Magicka. This effect can occur once every 45 seconds.",Light
Viper's Sting,Adds 833 Weapon Critical,Adds 1096 Maximum Stamina,Adds 833 Weapon Critical,"When you deal damage with a melee attack, you deal an additional 6400 Poison Damage over 4 seconds. This effect can occur once every 4 seconds.",Medium
Widowmaker,Adds 833 Weapon Critical,Adds 833 Weapon Critical,Adds 1096 Maximum Stamina,"When your alchemical poison fires, you drop a poisonous spore in front of you that bursts after 1 second, dealing 7740 Poison Damage to all enemies within 5 meters.",Medium
Z'en's Redress,Adds 129 Magicka Recovery,Adds 129 Spell Damage,Adds 1096 Maximum Magicka,"Your Light Attacks apply the Touch of Z'en on enemies for 20 seconds. Enemies with the Touch of Z'en take an additional 1% more damage for each damage over time effect you've placed on them, up to 5%. You can only receive the benefit from one Touch of Z'en per enemy",Light
